Fecha,Lugar,España,Extranjero
2023,C.A. de Euskadi,1999230,197515
2023,Araba/Álava,298569,34282
2023,Bizkaia,1045993,98026
2023,Gipuzkoa,654668,65207
2022,C.A. de Euskadi,1999887,186630
2022,Araba/Álava,297684,33008
2022,Bizkaia,1047447,91762
2022,Gipuzkoa,654756,61860
2021,C.A. de Euskadi,2010351,182848
2021,Araba/Álava,298202,31987
2021,Bizkaia,1054101,90022
2021,Gipuzkoa,658048,60839
2020,C.A. de Euskadi,2014795,184916
2020,Araba/Álava,297599,32610
2020,Bizkaia,1057891,91153
2020,Gipuzkoa,659305,61153
2019,C.A. de Euskadi,2021322,166695
2019,Araba/Álava,297539,30428
2019,Bizkaia,1062384,80469
2019,Gipuzkoa,661399,55798
2018,C.A. de Euskadi,2028262,152187
2018,Araba/Álava,297296,28222
2018,Bizkaia,1067978,72684
2018,Gipuzkoa,662988,51281
2017,C.A. de Euskadi,2020219,155600
2017,Araba/Álava,294952,28640
2017,Bizkaia,1064131,75295
2017,Gipuzkoa,661136,51665
2016,C.A. de Euskadi,2022538,149348
2016,Araba/Álava,294351,27984
2016,Bizkaia,1067449,71403
2016,Gipuzkoa,660738,49961
